question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Solve the quadratic equation scenario number 17.,Mathematics,create,86.36,20,3,11,161,26,135,0.167,0.839,0.669,hard,0.417
Determine projectile motion range for scenario number 18.,Physics,remember,54.14,46,1,22,212,151,61,0.713,0.3,0.623,easy,0.665
Apply Newton law to system scenario number 19.,Physics,analyze,65.44,31,3,19,101,55,46,0.551,0.452,0.639,medium,0.594
Describe inheritance in scenario number 20.,Computer Science,create,88.17,16,1,14,259,68,191,0.266,0.764,0.54,hard,0.397
Implement binary search for scenario number 21.,Computer Science,apply,60.54,38,1,22,197,116,81,0.59,0.437,0.545,medium,0.562
Implement binary search for scenario number 22.,Computer Science,create,86.71,20,1,5,247,48,199,0.198,0.813,0.856,hard,0.525
Analyze time complexity of scenario number 23.,Computer Science,evaluate,86.19,21,1,3,267,57,210,0.216,0.831,0.569,hard,0.383
Calculate electric field for scenario number 24.,Physics,understand,45.12,37,3,12,198,147,51,0.746,0.263,0.991,easy,0.867
Analyze flowchart representing scenario number 25.,Engineering Aptitude,apply,62.75,15,2,14,296,198,98,0.67,0.362,0.67,medium,0.664
Determine projectile motion range for scenario number 26.,Physics,remember,45.24,17,2,3,251,218,33,0.87,0.177,0.893,easy,0.872
Apply Newton law to system scenario number 27.,Physics,apply,65.03,39,3,20,227,111,116,0.492,0.533,0.724,medium,0.603
Evaluate logical reasoning pattern in scenario number 28.,Engineering Aptitude,remember,54.92,18,1,16,120,88,32,0.736,0.283,0.872,easy,0.8
Determine projectile motion range for scenario number 29.,Physics,understand,50.81,26,3,21,218,163,55,0.75,0.279,0.989,easy,0.864
Analyze flowchart representing scenario number 30.,Engineering Aptitude,create,79.73,41,2,23,129,37,92,0.294,0.74,0.932,hard,0.606
Determine stress on beam under scenario number 31.,Engineering Aptitude,apply,58.45,18,3,19,116,81,35,0.698,0.325,0.64,medium,0.665
Calculate electric field for scenario number 32.,Physics,create,87.67,38,1,19,145,56,89,0.39,0.658,0.927,hard,0.649
Describe inheritance in scenario number 33.,Computer Science,evaluate,75.89,37,1,5,227,48,179,0.212,0.808,0.922,hard,0.563
Evaluate logical reasoning pattern in scenario number 34.,Engineering Aptitude,understand,53.95,46,3,24,250,182,68,0.728,0.298,0.939,easy,0.828
Compute circuit resistance for scenario number 35.,Physics,remember,51.11,43,2,5,149,130,19,0.873,0.172,0.756,easy,0.806
Solve the quadratic equation scenario number 36.,Mathematics,understand,47.52,15,2,18,241,211,30,0.878,0.139,0.688,easy,0.78
Compute circuit resistance for scenario number 37.,Physics,evaluate,71.88,36,3,24,157,56,101,0.358,0.654,0.519,hard,0.436
Evaluate matrix determinant for scenario number 38.,Mathematics,analyze,59.55,47,1,14,207,121,86,0.587,0.417,0.526,medium,0.556
Evaluate logical reasoning pattern in scenario number 39.,Engineering Aptitude,evaluate,80.63,30,1,20,223,70,153,0.314,0.688,0.699,hard,0.506
Solve the quadratic equation scenario number 40.,Mathematics,create,78.67,40,1,23,161,56,105,0.351,0.684,0.704,hard,0.52
Explain database normalization of scenario number 41.,Computer Science,remember,42.6,48,2,24,147,108,39,0.737,0.31,0.819,easy,0.768
Describe inheritance in scenario number 42.,Computer Science,understand,47.75,19,2,5,175,142,33,0.813,0.195,0.56,easy,0.685
Calculate efficiency of machine with scenario number 43.,Engineering Aptitude,create,76.84,44,2,22,296,71,225,0.242,0.763,0.746,hard,0.493
Implement binary search for scenario number 44.,Computer Science,evaluate,79.47,44,1,12,168,61,107,0.366,0.647,0.508,hard,0.434
Compute definite integral of scenario number 45.,Mathematics,create,88.67,19,1,6,115,13,102,0.121,0.911,0.513,hard,0.311
Calculate electric field for scenario number 46.,Physics,apply,63.79,38,2,5,223,97,126,0.439,0.602,0.91,medium,0.666
Apply Newton law to system scenario number 47.,Physics,evaluate,82.52,24,3,14,128,15,113,0.121,0.884,0.509,hard,0.314
Describe inheritance in scenario number 48.,Computer Science,remember,41.42,31,2,10,192,166,26,0.869,0.132,0.907,easy,0.888
Compute definite integral of scenario number 49.,Mathematics,apply,59.23,25,1,6,120,82,38,0.69,0.337,0.712,medium,0.696
Apply Newton law to system scenario number 50.,Physics,understand,48.53,49,2,19,195,149,46,0.768,0.278,0.929,easy,0.839
Solve the quadratic equation scenario number 51.,Mathematics,create,78.58,39,3,11,129,47,82,0.371,0.654,0.913,hard,0.637
Calculate efficiency of machine with scenario number 52.,Engineering Aptitude,evaluate,76.4,26,1,11,246,31,215,0.127,0.889,0.975,hard,0.548
Calculate electric field for scenario number 53.,Physics,create,89.01,30,1,7,198,55,143,0.281,0.747,0.606,hard,0.438
Determine stress on beam under scenario number 54.,Engineering Aptitude,apply,69.19,28,3,7,262,174,88,0.666,0.351,0.559,medium,0.609
Determine stress on beam under scenario number 55.,Engineering Aptitude,evaluate,72.86,31,1,8,106,24,82,0.228,0.783,0.698,hard,0.461
Determine projectile motion range for scenario number 56.,Physics,analyze,68.38,43,1,8,182,104,78,0.574,0.469,0.94,medium,0.749
Describe inheritance in scenario number 57.,Computer Science,evaluate,74.73,18,2,21,288,61,227,0.213,0.822,0.624,hard,0.412
Calculate efficiency of machine with scenario number 58.,Engineering Aptitude,understand,44.95,27,2,22,299,216,83,0.724,0.309,0.873,easy,0.792
Apply Newton law to system scenario number 59.,Physics,apply,63.75,39,1,8,216,148,68,0.689,0.312,0.985,medium,0.837
Find derivative of function scenario number 60.,Mathematics,evaluate,70.86,35,3,7,263,69,194,0.266,0.782,0.762,hard,0.504
Apply Newton law to system scenario number 61.,Physics,remember,49.44,45,1,23,153,124,29,0.817,0.228,0.523,easy,0.661
Find derivative of function scenario number 62.,Mathematics,remember,44.21,22,2,14,251,206,45,0.824,0.19,0.594,easy,0.706
Compute definite integral of scenario number 63.,Mathematics,remember,46.96,42,1,11,291,230,61,0.791,0.211,0.64,easy,0.715
Determine projectile motion range for scenario number 64.,Physics,create,78.22,43,1,16,134,46,88,0.347,0.701,0.863,hard,0.595
Determine stress on beam under scenario number 65.,Engineering Aptitude,evaluate,82.27,44,2,15,104,11,93,0.108,0.911,0.905,hard,0.503
Compute circuit resistance for scenario number 66.,Physics,understand,54.81,35,2,24,158,137,21,0.868,0.173,0.734,easy,0.793
Analyze flowchart representing scenario number 67.,Engineering Aptitude,understand,46.22,20,1,7,194,164,30,0.85,0.196,0.793,easy,0.812
Solve the quadratic equation scenario number 68.,Mathematics,create,84.52,33,1,23,177,28,149,0.162,0.851,0.637,hard,0.397
Evaluate logical reasoning pattern in scenario number 69.,Engineering Aptitude,analyze,58.11,46,2,10,138,83,55,0.601,0.425,0.886,medium,0.738
Analyze flowchart representing scenario number 70.,Engineering Aptitude,create,80.4,19,2,19,211,51,160,0.244,0.777,0.892,hard,0.564
Solve the quadratic equation scenario number 71.,Mathematics,remember,49.59,48,2,20,197,162,35,0.827,0.2,0.546,easy,0.681
Evaluate logical reasoning pattern in scenario number 72.,Engineering Aptitude,remember,50.9,47,3,12,150,125,25,0.84,0.2,0.73,easy,0.777
Calculate electric field for scenario number 73.,Physics,understand,52.63,34,1,4,105,83,22,0.799,0.218,0.817,easy,0.804
Determine stress on beam under scenario number 74.,Engineering Aptitude,analyze,58.6,37,3,18,194,100,94,0.52,0.515,0.59,medium,0.548
Determine projectile motion range for scenario number 75.,Physics,analyze,65.45,46,3,20,160,73,87,0.458,0.544,0.584,medium,0.521
Apply Newton law to system scenario number 76.,Physics,analyze,59.18,35,2,3,232,124,108,0.538,0.472,0.682,medium,0.608
Solve the quadratic equation scenario number 77.,Mathematics,create,80.07,23,2,17,220,67,153,0.306,0.719,0.578,hard,0.437
Solve the quadratic equation scenario number 78.,Mathematics,understand,45.66,15,1,5,279,206,73,0.742,0.277,0.742,easy,0.738
Analyze flowchart representing scenario number 79.,Engineering Aptitude,analyze,64.27,38,2,15,253,103,150,0.411,0.602,0.857,medium,0.631
Compute circuit resistance for scenario number 80.,Physics,remember,53.43,32,2,8,214,160,54,0.748,0.265,0.689,easy,0.716
Compute circuit resistance for scenario number 81.,Physics,remember,40.3,36,2,14,124,108,16,0.878,0.152,0.84,easy,0.853
Evaluate logical reasoning pattern in scenario number 82.,Engineering Aptitude,analyze,66.84,36,2,17,107,61,46,0.576,0.452,0.689,medium,0.627
Describe inheritance in scenario number 83.,Computer Science,create,76.75,48,3,15,297,83,214,0.282,0.73,0.551,hard,0.414
Determine stress on beam under scenario number 84.,Engineering Aptitude,understand,42.29,18,2,13,289,218,71,0.757,0.252,0.948,easy,0.851
Implement binary search for scenario number 85.,Computer Science,remember,41.2,38,3,8,165,134,31,0.815,0.231,0.503,easy,0.65
Compute definite integral of scenario number 86.,Mathematics,remember,54.63,16,3,13,235,186,49,0.795,0.247,0.603,easy,0.691
Evaluate matrix determinant for scenario number 87.,Mathematics,evaluate,89.36,34,1,22,212,54,158,0.259,0.776,0.884,hard,0.564
Apply Newton law to system scenario number 88.,Physics,evaluate,71.75,27,3,5,260,54,206,0.211,0.812,0.774,hard,0.488
Find derivative of function scenario number 89.,Mathematics,remember,48.23,16,1,7,172,146,26,0.852,0.178,0.736,easy,0.788
Find derivative of function scenario number 90.,Mathematics,analyze,61.18,19,2,14,277,121,156,0.437,0.599,0.969,medium,0.696
Find derivative of function scenario number 91.,Mathematics,evaluate,73.62,36,1,10,110,37,73,0.339,0.672,0.582,hard,0.458
Solve the quadratic equation scenario number 92.,Mathematics,analyze,57.46,28,2,6,188,124,64,0.663,0.356,0.908,medium,0.782
Explain database normalization of scenario number 93.,Computer Science,understand,46.59,47,3,17,252,194,58,0.771,0.249,0.766,easy,0.765
Implement binary search for scenario number 94.,Computer Science,apply,56.0,20,2,5,234,144,90,0.619,0.416,0.583,medium,0.594
Determine stress on beam under scenario number 95.,Engineering Aptitude,create,87.57,44,3,6,256,37,219,0.146,0.87,0.624,hard,0.382
Describe inheritance in scenario number 96.,Computer Science,apply,66.16,36,2,12,104,91,13,0.875,0.142,0.911,easy,0.89
Evaluate matrix determinant for scenario number 97.,Mathematics,evaluate,72.21,38,3,10,104,25,79,0.246,0.775,0.886,hard,0.562
Solve the quadratic equation scenario number 98.,Mathematics,evaluate,70.24,40,3,7,247,38,209,0.154,0.891,0.792,hard,0.464
Determine projectile motion range for scenario number 99.,Physics,understand,46.01,26,2,15,203,162,41,0.801,0.229,0.509,easy,0.649
Analyze time complexity of scenario number 100.,Computer Science,understand,53.08,18,1,7,171,141,30,0.83,0.208,0.687,easy,0.751
Explain database normalization of scenario number 101.,Computer Science,understand,41.03,28,1,24,110,86,24,0.79,0.215,0.992,easy,0.89
Evaluate logical reasoning pattern in scenario number 102.,Engineering Aptitude,evaluate,86.78,15,3,24,154,25,129,0.168,0.862,0.69,hard,0.423
Compute definite integral of scenario number 103.,Mathematics,create,84.88,40,1,5,162,36,126,0.224,0.819,0.961,hard,0.584
Find derivative of function scenario number 104.,Mathematics,apply,61.99,41,1,13,286,153,133,0.536,0.471,0.588,medium,0.561
Solve the quadratic equation scenario number 105.,Mathematics,create,79.97,38,1,19,128,35,93,0.274,0.757,0.507,hard,0.384
Determine projectile motion range for scenario number 106.,Physics,apply,64.95,34,1,19,247,129,118,0.524,0.48,0.998,medium,0.76
Determine projectile motion range for scenario number 107.,Physics,understand,47.53,27,2,21,222,190,32,0.86,0.158,0.734,easy,0.793
Describe inheritance in scenario number 108.,Computer Science,apply,64.37,30,3,20,100,63,37,0.633,0.39,0.762,medium,0.693
Solve the quadratic equation scenario number 109.,Mathematics,create,78.82,18,1,10,256,31,225,0.123,0.915,0.636,hard,0.372
Evaluate logical reasoning pattern in scenario number 110.,Engineering Aptitude,remember,53.46,47,3,20,234,194,40,0.832,0.17,0.611,easy,0.721
Compute definite integral of scenario number 111.,Mathematics,understand,43.47,22,2,17,166,145,21,0.877,0.15,0.86,easy,0.863
Implement binary search for scenario number 112.,Computer Science,create,86.11,46,2,13,243,53,190,0.219,0.814,0.602,hard,0.404
Analyze flowchart representing scenario number 113.,Engineering Aptitude,evaluate,75.86,21,2,9,260,42,218,0.162,0.839,0.591,hard,0.376
Solve the quadratic equation scenario number 114.,Mathematics,remember,48.75,16,1,17,296,227,69,0.768,0.245,0.69,easy,0.727
Apply Newton law to system scenario number 115.,Physics,apply,63.85,19,1,8,236,125,111,0.531,0.484,0.974,medium,0.749
Compute circuit resistance for scenario number 116.,Physics,understand,51.45,24,2,16,227,167,60,0.736,0.288,0.756,easy,0.741
Compute definite integral of scenario number 117.,Mathematics,apply,66.13,39,3,11,121,78,43,0.65,0.399,0.763,medium,0.697
Compute definite integral of scenario number 118.,Mathematics,understand,42.58,25,2,20,227,164,63,0.724,0.305,0.637,easy,0.675
Apply Newton law to system scenario number 119.,Physics,apply,63.31,26,3,23,205,90,115,0.442,0.571,0.633,medium,0.535
Determine stress on beam under scenario number 120.,Engineering Aptitude,understand,50.98,21,2,15,244,191,53,0.784,0.235,0.759,easy,0.768
Calculate electric field for scenario number 121.,Physics,analyze,55.7,15,3,23,135,85,50,0.631,0.372,0.919,medium,0.774
Find derivative of function scenario number 122.,Mathematics,create,78.74,49,2,4,154,46,108,0.299,0.748,0.866,hard,0.573
Describe inheritance in scenario number 123.,Computer Science,create,74.3,34,3,5,180,44,136,0.249,0.781,0.667,hard,0.452
Determine projectile motion range for scenario number 124.,Physics,understand,51.56,23,1,3,160,134,26,0.838,0.184,0.623,easy,0.726
Evaluate matrix determinant for scenario number 125.,Mathematics,remember,52.29,44,2,4,111,85,26,0.772,0.232,0.959,easy,0.865
Determine stress on beam under scenario number 126.,Engineering Aptitude,understand,42.05,26,2,18,182,154,28,0.846,0.194,0.829,easy,0.83
Evaluate logical reasoning pattern in scenario number 127.,Engineering Aptitude,apply,65.38,39,2,14,242,147,95,0.608,0.395,0.835,medium,0.721
Calculate electric field for scenario number 128.,Physics,remember,40.66,31,3,23,185,163,22,0.883,0.119,0.849,easy,0.866
Compute circuit resistance for scenario number 129.,Physics,apply,59.46,37,1,20,215,140,75,0.653,0.363,0.914,medium,0.78
Analyze time complexity of scenario number 130.,Computer Science,apply,55.56,49,1,4,230,140,90,0.609,0.408,0.862,medium,0.732
Describe inheritance in scenario number 131.,Computer Science,create,71.31,18,1,24,252,80,172,0.321,0.705,0.713,hard,0.512
Analyze time complexity of scenario number 132.,Computer Science,remember,53.15,49,2,4,257,179,78,0.7,0.309,0.692,easy,0.694
Implement binary search for scenario number 133.,Computer Science,evaluate,88.65,43,2,19,161,39,122,0.244,0.787,0.937,hard,0.584
Analyze time complexity of scenario number 134.,Computer Science,remember,54.76,39,3,9,183,155,28,0.848,0.164,0.555,easy,0.699
Evaluate logical reasoning pattern in scenario number 135.,Engineering Aptitude,create,77.09,18,2,7,252,46,206,0.183,0.862,0.523,hard,0.344
Describe inheritance in scenario number 136.,Computer Science,evaluate,72.19,18,3,7,160,28,132,0.178,0.852,0.991,hard,0.578
Evaluate matrix determinant for scenario number 137.,Mathematics,evaluate,87.68,27,2,9,151,18,133,0.119,0.901,0.919,hard,0.515
Determine projectile motion range for scenario number 138.,Physics,remember,43.46,24,3,4,156,116,40,0.744,0.265,0.89,easy,0.815
Calculate efficiency of machine with scenario number 139.,Engineering Aptitude,evaluate,77.0,37,1,11,198,55,143,0.279,0.747,0.63,hard,0.449
Determine projectile motion range for scenario number 140.,Physics,analyze,62.73,31,3,5,112,52,60,0.467,0.56,0.796,medium,0.626
Compute definite integral of scenario number 141.,Mathematics,evaluate,81.6,17,3,11,294,113,181,0.387,0.656,0.905,hard,0.637
Analyze time complexity of scenario number 142.,Computer Science,create,83.1,48,3,8,171,52,119,0.309,0.694,0.766,hard,0.537
Explain database normalization of scenario number 143.,Computer Science,create,89.24,42,1,15,180,21,159,0.118,0.926,0.758,hard,0.429
Evaluate logical reasoning pattern in scenario number 144.,Engineering Aptitude,analyze,68.6,48,3,15,132,87,45,0.664,0.376,0.829,medium,0.738
Implement binary search for scenario number 145.,Computer Science,understand,52.76,27,3,15,188,166,22,0.886,0.119,0.849,easy,0.867
Analyze flowchart representing scenario number 146.,Engineering Aptitude,create,73.78,45,3,12,237,81,156,0.346,0.665,0.954,hard,0.648
Determine projectile motion range for scenario number 147.,Physics,analyze,55.02,27,1,14,138,63,75,0.458,0.546,0.663,medium,0.56
Compute definite integral of scenario number 148.,Mathematics,apply,63.4,48,1,5,169,81,88,0.485,0.516,0.716,medium,0.6
Compute circuit resistance for scenario number 149.,Physics,evaluate,86.8,29,2,7,121,46,75,0.381,0.653,0.534,hard,0.451
Describe inheritance in scenario number 150.,Computer Science,analyze,59.51,36,1,12,217,109,108,0.504,0.527,0.523,medium,0.507
Determine stress on beam under scenario number 151.,Engineering Aptitude,evaluate,87.43,43,3,5,279,91,188,0.327,0.674,0.511,hard,0.419
Determine stress on beam under scenario number 152.,Engineering Aptitude,create,76.47,25,2,4,273,65,208,0.241,0.807,0.551,hard,0.386
Compute definite integral of scenario number 153.,Mathematics,evaluate,87.08,43,1,13,215,75,140,0.352,0.687,0.615,hard,0.476
Analyze time complexity of scenario number 154.,Computer Science,understand,41.97,42,1,23,146,114,32,0.784,0.248,0.699,easy,0.735
Implement binary search for scenario number 155.,Computer Science,understand,44.11,15,2,8,114,96,18,0.849,0.161,0.934,easy,0.89
Apply Newton law to system scenario number 156.,Physics,remember,50.72,30,3,10,159,117,42,0.737,0.306,0.888,easy,0.804
Compute circuit resistance for scenario number 157.,Physics,evaluate,85.42,21,3,14,280,104,176,0.374,0.675,0.593,hard,0.474
Evaluate matrix determinant for scenario number 158.,Mathematics,analyze,61.93,21,1,14,183,41,142,0.229,0.781,0.746,hard,0.486
Compute circuit resistance for scenario number 159.,Physics,analyze,55.96,16,3,15,171,92,79,0.539,0.495,0.698,medium,0.612
Determine stress on beam under scenario number 160.,Engineering Aptitude,understand,54.62,25,1,3,201,177,24,0.882,0.155,0.875,easy,0.871
Solve the quadratic equation scenario number 161.,Mathematics,analyze,57.19,46,3,18,153,89,64,0.585,0.45,0.78,medium,0.676
Calculate electric field for scenario number 162.,Physics,create,70.2,16,1,3,257,28,229,0.11,0.894,0.698,hard,0.403
Calculate efficiency of machine with scenario number 163.,Engineering Aptitude,evaluate,72.65,29,2,12,218,65,153,0.301,0.746,0.562,hard,0.422
Apply Newton law to system scenario number 164.,Physics,analyze,68.44,23,3,11,213,144,69,0.681,0.367,0.813,medium,0.737
Compute circuit resistance for scenario number 165.,Physics,create,85.67,21,3,22,231,64,167,0.279,0.76,0.74,hard,0.502
Describe inheritance in scenario number 166.,Computer Science,evaluate,70.82,28,3,20,111,19,92,0.174,0.834,0.936,hard,0.553
Analyze flowchart representing scenario number 167.,Engineering Aptitude,understand,43.29,22,1,23,282,199,83,0.709,0.299,0.51,easy,0.608
Analyze flowchart representing scenario number 168.,Engineering Aptitude,apply,64.8,17,2,21,134,62,72,0.466,0.555,0.602,medium,0.53
Determine projectile motion range for scenario number 169.,Physics,evaluate,86.81,35,3,22,136,27,109,0.204,0.815,0.994,hard,0.595
Determine stress on beam under scenario number 170.,Engineering Aptitude,apply,55.6,46,1,6,216,112,104,0.519,0.512,0.799,medium,0.653
Calculate efficiency of machine with scenario number 171.,Engineering Aptitude,create,85.86,26,3,15,117,33,84,0.289,0.747,0.566,hard,0.42
Implement binary search for scenario number 172.,Computer Science,apply,65.74,37,2,14,113,78,35,0.691,0.318,0.927,medium,0.807
Explain database normalization of scenario number 173.,Computer Science,evaluate,79.85,28,3,22,229,29,200,0.129,0.904,0.656,hard,0.386
Find derivative of function scenario number 174.,Mathematics,understand,45.99,19,3,3,267,218,49,0.82,0.2,0.619,easy,0.715
Compute circuit resistance for scenario number 175.,Physics,create,74.69,28,2,12,175,61,114,0.349,0.673,0.624,hard,0.482
Calculate electric field for scenario number 176.,Physics,remember,49.26,34,1,13,264,203,61,0.771,0.255,0.891,easy,0.826
Analyze flowchart representing scenario number 177.,Engineering Aptitude,apply,65.58,29,2,14,288,118,170,0.41,0.639,0.561,medium,0.476
Analyze flowchart representing scenario number 178.,Engineering Aptitude,remember,43.47,15,3,5,297,218,79,0.736,0.268,0.552,easy,0.643
Compute circuit resistance for scenario number 179.,Physics,analyze,63.77,34,1,20,142,57,85,0.405,0.611,0.987,medium,0.693
Evaluate matrix determinant for scenario number 180.,Mathematics,analyze,63.7,37,2,22,250,102,148,0.409,0.606,0.852,medium,0.627
Compute definite integral of scenario number 181.,Mathematics,apply,58.03,35,1,10,256,136,120,0.533,0.51,0.589,medium,0.552
Analyze flowchart representing scenario number 182.,Engineering Aptitude,evaluate,83.85,40,3,12,257,64,193,0.249,0.782,0.934,hard,0.585
Compute circuit resistance for scenario number 183.,Physics,understand,48.56,22,1,16,295,177,118,0.603,0.408,0.829,medium,0.714
Analyze flowchart representing scenario number 184.,Engineering Aptitude,remember,45.91,40,2,4,291,206,85,0.71,0.339,0.703,easy,0.697
Evaluate logical reasoning pattern in scenario number 185.,Engineering Aptitude,create,87.42,27,3,11,167,49,118,0.295,0.743,0.963,hard,0.621
Determine stress on beam under scenario number 186.,Engineering Aptitude,analyze,61.57,27,1,21,208,134,74,0.645,0.361,0.772,medium,0.707
Apply Newton law to system scenario number 187.,Physics,analyze,55.09,26,2,9,242,147,95,0.609,0.411,0.724,medium,0.662
Solve the quadratic equation scenario number 188.,Mathematics,create,74.75,40,3,5,299,89,210,0.3,0.731,0.732,hard,0.51
Determine stress on beam under scenario number 189.,Engineering Aptitude,analyze,60.7,16,2,23,253,109,144,0.433,0.575,0.763,medium,0.596
Apply Newton law to system scenario number 190.,Physics,apply,58.69,37,2,16,207,142,65,0.687,0.314,0.598,medium,0.642
Evaluate logical reasoning pattern in scenario number 191.,Engineering Aptitude,understand,40.11,29,1,6,150,106,44,0.712,0.335,0.676,easy,0.685
Evaluate logical reasoning pattern in scenario number 192.,Engineering Aptitude,apply,56.52,41,1,17,255,143,112,0.562,0.454,0.805,medium,0.68
Evaluate logical reasoning pattern in scenario number 193.,Engineering Aptitude,analyze,65.74,18,2,13,106,64,42,0.604,0.405,0.763,medium,0.682
Analyze time complexity of scenario number 194.,Computer Science,analyze,65.64,34,2,9,153,86,67,0.565,0.437,0.817,medium,0.691
Solve the quadratic equation scenario number 195.,Mathematics,apply,69.27,35,2,11,125,57,68,0.464,0.567,0.706,medium,0.579
Apply Newton law to system scenario number 196.,Physics,create,86.8,30,1,7,167,30,137,0.182,0.859,0.712,hard,0.439
Solve the quadratic equation scenario number 197.,Mathematics,understand,50.01,24,1,20,168,123,45,0.734,0.303,0.931,easy,0.825
Apply Newton law to system scenario number 198.,Physics,evaluate,74.33,29,3,9,259,75,184,0.291,0.721,0.816,hard,0.551
Calculate electric field for scenario number 199.,Physics,understand,40.88,49,3,23,245,191,54,0.781,0.241,0.859,easy,0.816
Calculate efficiency of machine with scenario number 200.,Engineering Aptitude,evaluate,83.85,33,2,8,141,52,89,0.372,0.667,0.632,hard,0.494
Compute circuit resistance for scenario number 201.,Physics,create,82.91,23,1,8,268,76,192,0.285,0.737,0.916,hard,0.596
Explain database normalization of scenario number 202.,Computer Science,understand,50.04,46,1,10,299,248,51,0.83,0.196,0.662,easy,0.741
Find derivative of function scenario number 203.,Mathematics,apply,60.0,37,2,8,134,82,52,0.619,0.404,0.53,medium,0.57
Solve the quadratic equation scenario number 204.,Mathematics,apply,63.43,27,1,17,154,86,68,0.561,0.444,0.725,medium,0.642
Analyze flowchart representing scenario number 205.,Engineering Aptitude,create,85.12,26,3,18,129,21,108,0.17,0.85,0.576,hard,0.369
Apply Newton law to system scenario number 206.,Physics,evaluate,89.85,15,1,23,183,52,131,0.287,0.717,0.878,hard,0.582
Apply Newton law to system scenario number 207.,Physics,create,72.55,48,1,16,135,25,110,0.191,0.822,0.68,hard,0.433
Analyze time complexity of scenario number 208.,Computer Science,evaluate,71.75,23,1,13,166,36,130,0.219,0.803,0.8,hard,0.505
Compute definite integral of scenario number 209.,Mathematics,evaluate,80.31,29,2,7,111,42,69,0.379,0.627,0.909,hard,0.643
Evaluate logical reasoning pattern in scenario number 210.,Engineering Aptitude,remember,45.71,44,2,8,166,142,24,0.858,0.157,0.54,easy,0.696
Analyze time complexity of scenario number 211.,Computer Science,analyze,61.04,16,3,20,119,68,51,0.572,0.475,0.788,medium,0.671
Calculate efficiency of machine with scenario number 212.,Engineering Aptitude,analyze,62.19,45,2,3,209,139,70,0.669,0.372,0.659,medium,0.656
Describe inheritance in scenario number 213.,Computer Science,create,89.06,27,1,4,235,57,178,0.243,0.782,0.616,hard,0.425
Compute circuit resistance for scenario number 214.,Physics,understand,41.2,46,1,16,119,93,26,0.788,0.217,0.82,easy,0.803
Describe inheritance in scenario number 215.,Computer Science,analyze,58.24,37,3,21,104,65,39,0.634,0.389,0.529,medium,0.577
Evaluate logical reasoning pattern in scenario number 216.,Engineering Aptitude,apply,69.92,29,1,21,236,104,132,0.443,0.563,0.652,medium,0.546
Apply Newton law to system scenario number 217.,Physics,apply,56.52,47,3,10,116,54,62,0.47,0.541,0.587,medium,0.526
Determine stress on beam under scenario number 218.,Engineering Aptitude,analyze,64.84,49,3,24,113,51,62,0.453,0.566,0.982,medium,0.714
Evaluate logical reasoning pattern in scenario number 219.,Engineering Aptitude,remember,43.73,35,2,8,178,145,33,0.816,0.218,0.595,easy,0.699
Evaluate logical reasoning pattern in scenario number 220.,Engineering Aptitude,understand,49.28,40,2,15,280,240,40,0.86,0.188,0.744,easy,0.792
